HudongItem,relation,NewNode
阿肯色州,contains administrative territorial entity,格兰特县
泰国,emergency phone number,191
西北地区,executive body,Executive Council of the Northwest Territories
卡法,sister city,阿尔马维尔
1942年,has part,January 1942
阿肯色州,contains administrative territorial entity,格林县
泰国,emergency phone number,199
西北地区,legislative body,Legislature of the Northwest Territories
卡法,sister city,库尔斯克
1942年,has part,March 1942
阿肯色州,contains administrative territorial entity,亨普斯特德县
泰国,emergency phone number,1669
西北地区,replaces,鲁珀特地
卡法,sister city,喀琅施塔得
阿肯色州,contains administrative territorial entity,温泉县
泰国,geography of topic,泰国地理
西北地区,replaces,北西方领地
卡法,topic's main category,Category:Feodosia
阿肯色州,contains administrative territorial entity,霍华德县
泰国,history of topic,泰国历史
西北地区,replaces,北风区
卡法,category of associated people,Category:People from Feodosia
阿肯色州,contains administrative territorial entity,独立县
泰国,catalog,Wikipedia:基础条目
海杧果,instance of,生物分类单元
鹅观草属,instance of,生物分类单元
桔梗,instance of,生物分类单元
王达,instance of,人类
西北地区,replaces,British Arctic Territories
卡法,category for people who died here,Category:Deaths in Feodosiya
阿肯色州,contains administrative territorial entity,伊泽德县
CA,founded by,中华人民共和国政府
西北地区,contains administrative territorial entity,District of Alberta
卡法,described by source,亚美尼亚苏维埃百科全书
阿肯色州,contains administrative territorial entity,杰克逊县
椒草,instance of,生物分类单元
Sn,instance of,化学元素
镇,subclass of,人类聚居地
苹果属,instance of,生物分类单元
蟹蛛,instance of,生物分类单元
海杧果,parent taxon,海杧果属
杜拉,located in the administrative territorial entity,克拉克曼南郡
鹅观草属,parent taxon,Triticeae
桔梗,parent taxon,Platycodon
西北地区,contains administrative territorial entity,District of Assiniboia
卡法,described by source,大保利古典学百科全书
阿肯色州,contains administrative territorial entity,杰佛逊县
Sn,subclass of,贫金属
1224年,part of,1220年代
杜拉,located in time zone,UTC±00:00
鹅观草属,topic's main category,Category:鹅观草属
桔梗,basionym,Campanula grandiflora
CA,airline alliance,星空联盟
西北地区,contains administrative territorial entity,阿萨巴斯卡区
卡法,described by source,Yuzhakov Big Encyclopedia
阿肯色州,contains administrative territorial entity,约翰逊县
木贼,instance of,生物分类单元
葱花,instance of,生物分类单元
茶尺蠖,instance of,生物分类单元
追,instance of,电视节目系列
棉花,instance of,textile fibre
石灰,subclass of,氧化钙
椒草,parent taxon,草胡椒属
Sn,subclass of,碳族元素
1224年,follows,1223年
CA,airline hub,北京首都国际机场
西北地区,contains administrative territorial entity,District of Franklin
卡法,described by source,俄语百科全书
阿肯色州,contains administrative territorial entity,拉法叶县
追,genre,电视剧
棉花,subclass of,plant fiber
乌瓦,instance of,堂区
石灰,crystal system,立方晶系
diagnosis,different from,诊断
Sn,subclass of,第5周期元素
镇,topic's main category,Category:城镇
1224年,followed by,1225年
蟹蛛,topic's main category,Category:蟹蛛科
桔梗,this taxon is source of,Platycodi Radix
CA,airline hub,成都双流国际机场
西北地区,contains administrative territorial entity,District of Keewatin
卡法,described by source,Jewish Encyclopedia of Brockhaus and Efron
阿肯色州,contains administrative territorial entity,劳伦斯县
染色质,instance of,cellular component
信阳县,instance of,former administrative territorial entity
野猪,instance of,生物分类单元
Wealthy,instance of,apple cultivar
徐长卿,instance of,维基媒体消歧义页
葱花,parent taxon,葱属
茶尺蠖,parent taxon,Ectropis
追,creator,杰瑞·布洛克海默
石灰,has quality,潮解
Sn,has effect,Tin poisoning
镇,described by source,Otto's encyclopedia
1224年,topic's main category,Category:1224年
苹果属,this taxon is source of,苹果
CA,airline hub,上海浦东国际机场
西北地区,contains administrative territorial entity,District of Mackenzie
卡法,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
阿肯色州,contains administrative territorial entity,李县
染色质,subclass of,chromosomal part
坡道,instance of,地势
丁香油酚,instance of,药物治疗
信阳县,instance of,县
木贼,IUCN conservation status,无危物种
追,original network,全国广播公司
乌瓦,located in the administrative territorial entity,维苗苏
石灰,topic's main category,Category:Lime (material)
Sn,topic's main category,Category:锡
1224年,has part,July 1224
苹果属,topic's main category,Category:Malus
CA,owned by,中国航空
西北地区,contains administrative territorial entity,District of Saskatchewan
阿肯色州,contains administrative territorial entity,林肯县
山棕,instance of,生物分类单元
水蕹科,instance of,生物分类单元
十三陵,instance of,石墓
中秋,instance of,七言律诗‎
欧夜鹰,instance of,生物分类单元
染色质,described by source,亚美尼亚苏维埃百科全书
丁香油酚,instance of,food ingredient
信阳县,country,中华民国
石灰,described by source,亚美尼亚苏维埃百科全书
Sn,described by source,亚美尼亚苏维埃百科全书
苹果属,described by source,亚美尼亚苏维埃百科全书
CA,subsidiary,中国国际货运航空
西北地区,contains administrative territorial entity,District of Ungava
阿肯色州,contains administrative territorial entity,利特尔里弗县
bag,topic's main category,Category:怀柔区区长
十三陵,part of,明清皇家陵寝
染色质,has part,核小体
野猪,IUCN conservation status,无危物种
棉花,use,cordage
Sn,described by source,Bible Encyclopedia of Archimandrite Nicephorus
镇,said to be the same as,bourgade
CA,subsidiary,澳门航空
西北地区,contains administrative territorial entity,District of Yukon
阿肯色州,contains administrative territorial entity,洛根县
商城县,located in the administrative territorial entity,信阳市
山棕,parent taxon,双籽藤属
欧夜鹰,parent taxon,夜鹰属
景东县,located in the administrative territorial entity,普洱市
丁香油酚,physically interacts with,Transient receptor potential cation channel subfamily A member 1
野猪,topic's main category,Category:Sus scrofa
追,cast member,凯利·吉蒂斯
棉花,use,棉纸
Sn,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
镇,said to be the same as,belde
CA,subsidiary,首都航空
西北地区,located in time zone,北美山区时区
阿肯色州,contains administrative territorial entity,洛诺克县
商城县,contains administrative territorial entity,城关镇 (商城县)
水蕹科,topic's main category,Category:Aponogeton
bag,different from,Bag
十三陵,located in the administrative territorial entity,昌平区
欧夜鹰,IUCN conservation status,无危物种
景东县,contains administrative territorial entity,锦屏镇
丁香油酚,physically interacts with,Transient receptor potential cation channel subfamily V member 3
野猪,described by source,亚美尼亚苏维埃百科全书
追,composer,崔佛·莫里斯
棉花,use,击球 (板球)
Sn,described by source,俄语百科全书
镇,said to be the same as,市级镇
CA,subsidiary,大连航空
西北地区,shares border with,努纳武特
阿肯色州,contains administrative territorial entity,麦迪逊县
商城县,contains administrative territorial entity,上石桥镇
bag,different from,gunny sack
十三陵,significant event,UNESCO World Heritage Site record modification
景东县,contains administrative territorial entity,文井镇 (景东县)
丁香油酚,has quality,辣
追,producer,杰瑞·布洛克海默
棉花,has quality,潮解
Sn,catalog,Wikipedia:基础条目
镇,catalog,Wikipedia:基础条目
CA,subsidiary,山东航空
西北地区,shares border with,育空
阿肯色州,contains administrative territorial entity,马里昂县
商城县,contains administrative territorial entity,鄢岗镇
十三陵,heritage designation,全国重点文物保护单位
景东县,contains administrative territorial entity,漫湾镇
追,narrative location,休斯敦
棉花,topic's main category,Category:棉
CA,subsidiary,深圳航空
西北地区,shares border with,不列颠哥伦比亚
阿肯色州,contains administrative territorial entity,米勒县
商城县,contains administrative territorial entity,双椿铺镇
十三陵,heritage designation,世界遗产
景东县,contains administrative territorial entity,大朝山东镇
追,aspect ratio,16:9 (影像)
棉花,described by source,Fairchild's Dictionary of Textiles
CA,business division,中国国际货运航空
阿肯色州,contains administrative territorial entity,密西西比县
商城县,contains administrative territorial entity,汪桥镇 (商城县)
十三陵,topic's main category,Category:明十三陵
景东县,contains administrative territorial entity,曼等乡
棉花,catalog,Wikipedia:基础条目
CA,business division,澳门航空
西北地区,shares border with,萨斯喀彻温
阿肯色州,contains administrative territorial entity,门罗县
商城县,contains administrative territorial entity,馀集镇
十三陵,World Heritage criteria,(i)
景东县,contains administrative territorial entity,花山镇 (景东县)
CA,business division,大连航空
西北地区,shares border with,新殖民地
阿肯色州,contains administrative territorial entity,蒙哥马利县
商城县,contains administrative territorial entity,达权店镇
十三陵,World Heritage criteria,(ii)
